z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
1.379999999999999893e+00,7.268096361445477669e+02,6.781184821236984571e+05,5.997209436452295780e+08,4.510830897528419800e+11,1.501708453192614989e+01,1.206741640966591511e+01,9.021468944629791764e+00,5.897788117857876600e+00
1.409999999999999920e+00,7.213324119073047314e+02,6.718896770546672633e+05,5.924891477735416889e+08,4.427184631529848022e+11,1.486894550394156767e+01,1.195200740668063233e+01,8.940627200333182145e+00,5.855159068872963779e+00
1.439999999999999947e+00,7.158854507566345546e+02,6.657053016409592237e+05,5.853299710357465744e+08,4.344939223626126709e+11,1.472257836147273480e+01,1.183795843705862261e+01,8.860724783710997698e+00,5.813014643605443510e+00
1.469999999999999973e+00,7.104689582576960447e+02,6.595654929505893961e+05,5.782432427810739279e+08,4.264077887332482300e+11,1.457795189384641432e+01,1.172524655473550759e+01,8.781746781731648355e+00,5.771347266891756256e+00
1.500000000000000000e+00,7.050831213497386898e+02,6.534703645496612880e+05,5.712287636348272562e+08,4.184583676642780151e+11,1.443503644653153195e+01,1.161384998579424455e+01,8.703679071037997872e+00,5.730149792040227119e+00
1.530000000000000027e+00,6.997281092907812763e+02,6.474200077720375266e+05,5.642863073338787556e+08,4.106439513699943237e+11,1.429380383949307287e+01,1.150374806657674753e+01,8.626508275646600055e+00,5.689415477733483328e+00
1.560000000000000053e+00,6.944040745490231075e+02,6.414144929172076518e+05,5.574156224553282261e+08,4.029628214516029663e+11,1.415422729057735474e+01,1.139492118558358946e+01,8.550221727208612066e+00,5.649137966311258197e+00
1.589999999999999858e+00,6.891111536445370120e+02,6.354538703810854349e+05,5.506164340453008413e+08,3.954132512873872681e+11,1.401628134354862887e+01,1.128735072887513979e+01,8.474807427638253898e+00,5.609311263330212682e+00
1.619999999999999885e+00,6.838494679445232123e+02,6.295381717241132865e+05,5.438884451543308496e+08,3.879935082532289429e+11,1.387994180042868031e+01,1.118101902871127784e+01,8.400254013930778640e+00,5.569929718306224409e+00
1.649999999999999911e+00,6.786191244151475530e+02,6.236674106807139469e+05,5.372313382852988243e+08,3.807018557848031616e+11,1.374518565781980861e+01,1.107590931518861410e+01,8.326550725006864440e+00,5.530988006552424174e+00
1.679999999999999938e+00,6.734202163327603330e+02,6.178415841138295364e+05,5.306447767594468594e+08,3.735365552919355469e+11,1.361199104691744211e+01,1.097200567065364929e+01,8.253687370433480552e+00,5.492481112033400947e+00
1.709999999999999964e+00,6.682528239570814321e+02,6.120606729180064285e+05,5.241284060055966973e+08,3.664958679348632202e+11,1.348033717694255351e+01,1.086929298668826505e+01,8.181654300883614894e+00,5.454404311162551977e+00
1.739999999999999991e+00,6.631170151687454108e+02,6.063246428742338903e+05,5.176818547773233056e+08,3.595780562714423828e+11,1.335020428174524909e+01,1.076775692348003766e+01,8.110442380208130686e+00,5.416753157475321601e+00
1.770000000000000018e+00,6.580128460734263172e+02,6.006334454595129937e+05,5.113047363024988770e+08,3.527813857837130127e+11,1.322157356935026762e+01,1.066738387140456723e+01,8.040042959003155687e+00,5.379523467116595903e+00
1.799999999999999822e+00,6.529403615745948173e+02,5.949870186139123980e+05,5.049966493693104982e+08,3.461041262916425171e+11,1.309442717423339886e+01,1.056816091466060570e+01,7.970447849565478471e+00,5.342711305085274809e+00
1.829999999999999849e+00,6.478995959168263425e+02,5.893852874676788924e+05,4.987571793525686860e+08,3.395445532613280640e+11,1.296874811213335832e+01,1.047007579681073786e+01,7.901649302136831032e+00,5.306312972183570231e+00
1.859999999999999876e+00,6.428905732014256955e+02,5.838281650307876989e+05,4.925858991838620305e+08,3.331009490144434814e+11,1.284452023721892111e+01,1.037311688809182009e+01,7.833639982345584230e+00,5.270324992622628990e+00
1.889999999999999902e+00,6.379133078760228273e+02,5.783155528471511789e+05,4.864823702688660622e+08,3.267716038452487183e+11,1.272172820144428762e+01,1.027727315436930411e+01,7.766412949761198448e+00,5.234744102239795360e+00
1.919999999999999929e+00,6.329678051996734212e+02,5.728473416155530140e+05,4.804461433548986316e+08,3.205548170510611572e+11,1.260035741593820724e+01,1.018253412761920806e+01,7.699961637483407451e+00,5.199567237286200516e+00
1.949999999999999956e+00,6.280540616848961690e+02,5.674234117792348843e+05,4.744767593515991569e+08,3.144488978816882324e+11,1.248039401428345485e+01,1.008888987782979463e+01,7.634279832693718681e+00,5.164791523746552038e+00
