z,mass_track_M0_1e+03_msun,mass_track_M0_1e+06_msun,mass_track_M0_1e+09_msun,mass_track_M0_1e+12_msun,concentration_M0_1e+03,concentration_M0_1e+06,concentration_M0_1e+09,concentration_M0_1e+12
2.009999999999999787e+00,7.134663124588820438e+02,6.012766380109526217e+05,4.611829649611323476e+08,2.960634477331264648e+11,1.259478912780635085e+01,8.431887633708496921e+00,6.009003924241486772e+00,4.678990558454711568e+00
2.040000000000000036e+00,7.095649226608181834e+02,5.962686025355380261e+05,4.553559265695616007e+08,2.902579446692644043e+11,1.242667673417883556e+01,8.333490424817547648e+00,5.953099811514136697e+00,4.653663649345944897e+00
2.069999999999999840e+00,7.056801918589688967e+02,5.912954760691182455e+05,4.495947079854056239e+08,2.845593339008380127e+11,1.226376151622237742e+01,8.238073864461663121e+00,5.898851107616548184e+00,4.629114297875040585e+00
2.100000000000000089e+00,7.018121705954276877e+02,5.863572126180068590e+05,4.438988250755291581e+08,2.789659248239511108e+11,1.210587595641424663e+01,8.145548315668854400e+00,5.846214593605647991e+00,4.605329067787233832e+00
2.129999999999999893e+00,6.979609047183241728e+02,5.814537583252810873e+05,4.382677864800686240e+08,2.734760408482321472e+11,1.195285417620323898e+01,8.055824818839559143e+00,5.795147235457064561e+00,4.582294692163345395e+00
2.160000000000000142e+00,6.941264355749357264e+02,5.765850518534955336e+05,4.327010942460535169e+08,2.680880200090703125e+11,1.180453282441861518e+01,7.968815552653315315e+00,5.745606376485747013e+00,4.559998042948290475e+00
2.189999999999999947e+00,6.903088001959714575e+02,5.717510247496219818e+05,4.271982444279231429e+08,2.628002155242053833e+11,1.166075170236907255e+01,7.884434150665541985e+00,5.697549857268401574e+00,4.538426077066095132e+00
2.219999999999999751e+00,6.865080314715077066e+02,5.669516017931611277e+05,4.217587276567064524e+08,2.576109962981374207e+11,1.152135418413842061e+01,7.802595907930630403e+00,5.650936083168555335e+00,4.517565770817657977e+00
2.250000000000000000e+00,6.827241583190215124e+02,5.621867013283096021e+05,4.163820296795315146e+08,2.525187473776141663e+11,1.138618748288617510e+01,7.723217907242134750e+00,5.605724056508994302e+00,4.497404052005898656e+00
2.279999999999999805e+00,6.789572058439438251e+02,5.574562355810176814e+05,4.110676318710279465e+08,2.475218703612493286e+11,1.125510280547326225e+01,7.646219089391332879e+00,5.561873387155914727e+00,4.477927736949915527e+00
2.310000000000000053e+00,6.752071954931245727e+02,5.527601109617125476e+05,4.058150117180919051e+08,2.426187837661396179e+11,1.112795542931063686e+01,7.571520286719978898e+00,5.519344292074287672e+00,4.459123477396698121e+00
2.339999999999999858e+00,6.714741452015788354e+02,5.480982283544274978e+05,4.006236432794026136e+08,2.378079233541754761e+11,1.100460472753806229e+01,7.499044234520884977e+00,5.478097591486633000e+00,4.440977720423147979e+00
2.370000000000000107e+00,6.677580695328634874e+02,5.434704833930238383e+05,3.954929976209927797e+08,2.330877424205751038e+11,1.088491416181062554e+01,7.428715570718181560e+00,5.438094706734605488e+00,4.423476682803626936e+00
2.399999999999999911e+00,6.640589798134094508e+02,5.388767667251558742e+05,3.904225432291043401e+08,2.284567120470225220e+11,1.076875125625234197e+01,7.360460830829045342e+00,5.399297662858965730e+00,4.406606340023318857e+00
2.429999999999999716e+00,6.603768842611135597e+02,5.343169642645922722e+05,3.854117464014869332e+08,2.239133213216427002e+11,1.065598756154814630e+01,7.294208442480224264e+00,5.361669097282260488e+00,4.390352429141506363e+00
2.459999999999999964e+00,6.567117881084845976e+02,5.297909574324674904e+05,3.804600716182349324e+08,2.194560775279204407e+11,1.054649861462096538e+01,7.229888721684726072e+00,5.325172274772516090e+00,4.374700464027520219e+00
2.489999999999999769e+00,6.530636937206105586e+02,5.252986233880107757e+05,3.755669818931950331e+08,2.150835063045378418e+11,1.044016389675754652e+01,7.167433871599962814e+00,5.289771108035351332e+00,4.283487477136329602e+00
2.520000000000000018e+00,6.494326007082036085e+02,5.208398352492605918e+05,3.707319391069161892e+08,2.107941517779920959e+11,1.033686679125898245e+01,7.106777983497313933e+00,5.255430182766352765e+00,4.273649633668082259e+00
2.549999999999999822e+00,6.458185060359652425e+02,5.164144623042512685e+05,3.659544043220680952e+08,2.065865766697463684e+11,1.023649454054597996e+01,7.047857039077744190e+00,5.222114785732406617e+00,4.264063231196896453e+00
2.580000000000000071e+00,6.422214041264996922e+02,5.120223702131274040e+05,3.612338380821927190e+08,2.024593623795594482e+11,1.013893820199867513e+01,6.990608912976899347e+00,5.189790934378992304e+00,4.254727902302454901e+00
2.609999999999999876e+00,6.386412869599871556e+02,5.076634212016179808e+05,3.565697006946164966e+08,1.984111090465486450e+11,1.004409260152440275e+01,6.934973374232691334e+00,5.158425406525553925e+00,4.245642353755807008e+00
