z,mass_msun,concentration_ludlow16
8.565752494692989716e-01,6.211502850397257080e+11,6.730423428899254823e+00
8.669149690154950294e-01,6.173263501252196045e+11,6.712102199286005266e+00
8.773794993128308795e-01,6.134759501450312500e+11,6.693648716425886214e+00
8.879703469518414050e-01,6.095992212895830078e+11,6.675062577122359286e+00
8.986890367091148191e-01,6.056963095597069092e+11,6.656343388158802554e+00
9.095371117668178407e-01,6.017673709415827637e+11,6.637490766770277162e+00
9.205161339348674199e-01,5.978125715803911133e+11,6.618504341137754210e+00
9.316276838757889811e-01,5.938320879524793701e+11,6.599383750905873036e+00
9.428733613322832774e-01,5.898261070358414307e+11,6.580128647725173252e+00
9.542547853575459316e-01,5.857948264786961670e+11,6.560738695819948063e+00
9.657735945483620910e-01,5.817384547659514160e+11,6.541213572582818436e+00
9.774314472810190502e-01,5.776572113833275146e+11,6.521552969197202287e+00
9.892300219500627101e-01,5.735513269789110107e+11,6.501756591288825327e+00
1.001171017209939951e+00,5.694210435219034424e+11,6.481824159607596059e+00
1.013256152219554673e+00,5.652666144583234863e+11,6.461755410741043093e+00
1.025487166889776924e+00,5.610883048634119873e+11,6.441550097860750945e+00
1.037865822133939631e+00,5.568863915904857178e+11,6.421207991503030676e+00
1.050393900121362467e+00,5.526611634159805908e+11,6.400728880385383235e+00
1.063073204533927507e+00,5.484129211804170532e+11,6.380112572260139281e+00
1.075905560825761942e+00,5.441419779250118408e+11,6.359358894806819151e+00
1.088892816486047854e+00,5.398486590236646118e+11,6.338467696564785925e+00
1.102036841305010562e+00,5.355333023100275879e+11,6.317438847907796529e+00
1.115339527643110618e+00,5.311962581993753052e+11,6.296272242062127766e+00
1.128802790703491876e+00,5.268378898049760742e+11,6.274967796170017209e+00
1.142428568807713818e+00,5.224585730486658325e+11,6.253525452400142903e+00
1.156218823674817209e+00,5.180586967653220215e+11,6.231945179107031940e+00
1.170175540703749961e+00,5.136386628009266357e+11,6.210226972041249738e+00
1.184300729259211149e+00,5.091988861039033203e+11,6.188370855612322252e+00
1.198596422960940933e+00,5.047397948094150391e+11,6.166376884206368203e+00
1.213064679976502136e+00,5.002618303162969360e+11,6.144245143560544520e+00
1.227707583317597217e+00,4.957654473563014526e+11,6.121975752196354037e+00
1.242527241139962157e+00,4.912511140553271484e+11,6.099568862914042988e+00
1.257525787046881671e+00,4.867193119863001709e+11,6.077024664350261673e+00
